epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,201.097,1.30496,4.04013,1.25224,0.06772,0.29748,0.08086,0.05244,1.11667,3.9097,0.99949,0.000181836,0.000181836,0.000181836
2,393.905,1.10633,3.54514,1.10187,0.05006,0.72687,0.25557,0.15989,1.12155,3.52836,1.01734,0.000355053,0.000355053,0.000355053
3,586.864,1.07421,3.08989,1.08036,0.94153,0.2407,0.38843,0.25269,1.06914,3.02222,0.99954,0.000516038,0.000516038,0.000516038
4,780.904,1.13762,2.61526,1.13068,0.85648,0.29046,0.44289,0.27726,1.15951,2.5903,1.04655,0.000500956,0.000500956,0.000500956
5,976.827,1.14657,2.26081,1.14424,0.92665,0.39526,0.48937,0.31457,1.14161,2.42627,1.06712,0.000482608,0.000482608,0.000482608
6,1171.13,1.09437,1.95511,1.13718,0.94058,0.40246,0.53855,0.35041,1.11039,2.21851,1.06154,0.00046426,0.00046426,0.00046426
7,1366.13,1.0522,1.69064,1.10935,0.59545,0.55442,0.63243,0.41375,1.18665,1.87216,1.12775,0.000445912,0.000445912,0.000445912
8,1559.79,1.07999,1.51499,1.12295,0.7978,0.65938,0.68325,0.45195,1.2768,1.74863,1.20593,0.000427564,0.000427564,0.000427564
9,1753.64,1.04357,1.3241,1.10925,0.80779,0.68417,0.69869,0.44339,1.23046,1.51671,1.27434,0.000409216,0.000409216,0.000409216
10,1947.31,1.01397,1.22362,1.11617,0.80565,0.68521,0.68812,0.46108,1.17611,1.41733,1.24009,0.000390868,0.000390868,0.000390868
11,2141.24,0.98092,1.13684,1.08908,0.842,0.70278,0.69792,0.46647,1.20125,1.39683,1.22388,0.00037252,0.00037252,0.00037252
12,2335.94,0.97493,1.07571,1.08795,0.86598,0.67559,0.72302,0.47911,1.21221,1.22539,1.30529,0.000354172,0.000354172,0.000354172
13,2529.53,0.94128,1.02447,1.07644,0.81335,0.73211,0.7286,0.48178,1.17641,1.16224,1.26449,0.000335824,0.000335824,0.000335824
14,2723.68,0.93381,0.93596,1.06892,0.82161,0.7312,0.72952,0.47126,1.19216,1.19659,1.30735,0.000317476,0.000317476,0.000317476
15,2917.4,0.89847,0.91583,1.05929,0.81574,0.73125,0.74256,0.4845,1.1414,1.19507,1.26162,0.000299128,0.000299128,0.000299128
16,3111.54,0.90906,0.90384,1.06607,0.94658,0.6235,0.70174,0.47004,1.12188,1.22423,1.24635,0.00028078,0.00028078,0.00028078
17,3306.26,0.88448,0.86962,1.05082,0.93803,0.64424,0.75352,0.47584,1.13681,1.14986,1.24175,0.000262432,0.000262432,0.000262432
18,3502.32,0.88905,0.83364,1.05629,0.93962,0.62356,0.70671,0.47224,1.08985,1.18186,1.17585,0.000244084,0.000244084,0.000244084
19,3698.37,0.88449,0.85578,1.05008,0.78051,0.69392,0.75012,0.47387,1.10763,1.14099,1.20909,0.000225736,0.000225736,0.000225736
20,3893.5,0.87514,0.79174,1.05581,0.8173,0.68962,0.78102,0.49042,1.11382,1.13475,1.21662,0.000207388,0.000207388,0.000207388
21,4085.49,0.83606,0.82692,1.03197,0.74075,0.73417,0.71629,0.46972,1.11295,1.17887,1.20261,0.00018904,0.00018904,0.00018904
22,4276.76,0.82507,0.78402,1.01267,0.79804,0.73597,0.77911,0.48006,1.13584,1.21228,1.2355,0.000170692,0.000170692,0.000170692
23,4466.81,0.80289,0.71498,1.01021,0.84239,0.84166,0.79662,0.48979,1.09415,1.08978,1.23276,0.000152344,0.000152344,0.000152344
24,4658.51,0.81177,0.73409,1.01901,0.87351,0.74703,0.82813,0.48557,1.1325,1.11802,1.23364,0.000133996,0.000133996,0.000133996
25,4849.19,0.79618,0.71077,1.00551,0.79473,0.77557,0.72998,0.48001,1.07638,1.04744,1.19886,0.000115648,0.000115648,0.000115648
26,5039.72,0.79091,0.70029,1.0054,0.81855,0.77472,0.75566,0.48221,1.09976,1.01864,1.22714,9.73e-05,9.73e-05,9.73e-05
27,5228.72,0.78738,0.69625,1.0012,0.78642,0.76675,0.74476,0.49438,1.0699,1.02139,1.20861,7.8952e-05,7.8952e-05,7.8952e-05
28,5420.35,0.78123,0.68708,0.99996,0.78936,0.76178,0.73939,0.49062,1.06421,1.02149,1.20132,6.0604e-05,6.0604e-05,6.0604e-05
29,5610.74,0.78444,0.67578,1.00629,0.77769,0.7865,0.74751,0.49764,1.06683,1.00117,1.20044,4.2256e-05,4.2256e-05,4.2256e-05
30,5801.02,0.78006,0.68768,0.99623,0.76951,0.79537,0.73651,0.49203,1.06015,1.00579,1.19256,2.3908e-05,2.3908e-05,2.3908e-05
